study id
16672024
16672024
16672024
16672024
9848296
9848296
9848296
9848296
8381164
8381164
8381164
8381164
8381164
16979870
16979870
16979870
16979870
19415396
19415396
19415396
19415396
19415396
9971864
9971864
9971864
9971864
11691528
11691528
11691528
11691528
11691528
20487575
20487575
20487575
20487575
20487575
17712126
17712126
17712126
17712126
17712126
16584436
16584436
16584436
16584436
16584436
16195074
16195074
16195074
16195074
16195074
11006365
11006365
11006365
11006365
16871329
16871329
16871329
16871329
16871329
17171539
17171539
17171539
17171539
17171539
15667429
15667429
15667429
15667429
15667429
15667429
8131469
8131469
8131469
8131469
8131469
8131469
16182897
16182897
16182897
16182897
17981851
17981851
17981851
17981851
17981851
17981851
15019339
15019339
15019339
15019339
15019339
15019339
6083819
6083819
6083819
6083819
6083819
6083819
17010032
17010032
17010032
17010032
17010032
15090013
15090013
15090013
15090013
16377775
16377775
16377775
16377775
9951493
9951493
9951493
9951493
9951493
10556125
10556125
10556125
10556125
21441148
21441148
21441148
21441148
10964582
10964582
10964582
10964582
18475734
18475734
18475734
18475734
15714420
15714420
15714420
15714420
15714420
15714420
9672330
9672330
9672330
9672330
9672330
20555312
20555312
20555312
20555312
20655662
20655662
20655662
17074945
17074945
17074945
17074945
17074945
15767536
15767536
15767536
15767536
15767536
21244474
21244474
21244474
21244474
21244474
16761228
16761228
16761228
16761228
17196713
17196713
17196713
17196713
17196713
15821899
15821899
15821899
15821899
19164402
19164402
19164402
19164402
15541406
15541406
15541406
15541406
10856009
10856009
10856009
10856009
15842277
15842277
15842277
15842277
15842277
15842277
18814887
18814887
18814887
18814887
18814887
18814887
3349550
3349550
3349550
3349550
3349550
3349550
19428083
19428083
19428083
19428083
19428083
19064624
19064624
19064624
7862179
7862179
7862179
7862179
7862179
7862179
12472325
12472325
12472325
12472325
3411737
3411737
3411737
3411737
11890582
11890582
11890582
11890582
11890582
11890582
